Label.Number,Label.Name
4,"3rd Ventricle"
11,"4th Ventricle"
23,"Right Accumbens Area"
30,"Left Accumbens Area"
31,"Right Amygdala"
32,"Left Amygdala"
35,"Brain Stem"
36,"Right Caudate"
37,"Left Caudate"
38,"Right Cerebellum Exterior"
39,"Left Cerebellum Exterior"
40,"Right Cerebellum White Matter"
41,"Left Cerebellum White Matter"
44,"Right Cerebral White Matter"
45,"Left Cerebral White Matter"
46,"CSF"
47,"Right Hippocampus"
48,"Left Hippocampus"
49,"Right Inf Lat Vent"
50,"Left Inf Lat Vent"
51,"Right Lateral Ventricle"
52,"Left Lateral Ventricle"
55,"Right Pallidum"
56,"Left Pallidum"
57,"Right Putamen"
58,"Left Putamen"
59,"Right Thalamus Proper"
60,"Left Thalamus Proper"
61,"Right Ventral DC"
62,"Left Ventral DC"
69,"Optic Chiasm"
71,"Cerebellar Vermal Lobules I-V"
72,"Cerebellar Vermal Lobules VI-VII"
73,"Cerebellar Vermal Lobules VIII-X"
75,"Left Basal Forebrain"
76,"Right Basal Forebrain"
100,"Right ACgG"
101,"Left ACgG"
102,"Right AIns"
103,"Left AIns"
104,"Right AOrG"
105,"Left AOrG"
106,"Right AnG"
107,"Left AnG"
108,"Right Calc"
109,"Left Calc"
112,"Right CO"
113,"Left CO"
114,"Right Cun"
115,"Left Cun"
116,"Right Ent"
117,"Left Ent"
118,"Right FO"
119,"Left FO"
120,"Right FRP"
121,"Left FRP"
122,"Right FuG"
123,"Left FuG"
124,"Right GRe"
125,"Left GRe"
128,"Right IOG"
129,"Left IOG"
132,"Right ITG"
133,"Left ITG"
134,"Right LiG"
135,"Left LiG"
136,"Right LOrG"
137,"Left LOrG"
138,"Right MCgG"
139,"Left MCgG"
140,"Right MFC"
141,"Left MFC"
142,"Right MFG"
143,"Left MFG"
144,"Right MOG"
145,"Left MOG"
146,"Right MOrG"
147,"Left MOrG"
148,"Right MPoG"
149,"Left MPoG"
150,"Right MPrG"
151,"Left MPrG"
152,"Right MSFG"
153,"Left MSFG"
154,"Right MTG"
155,"Left MTG"
156,"Right OCP"
157,"Left OCP"
160,"Right OFuG"
161,"Left OFuG"
162,"Right OpIFG"
163,"Left OpIFG"
164,"Right OrIFG"
165,"Left OrIFG"
166,"Right PCgG"
167,"Left PCgG"
168,"Right PCu"
169,"Left PCu"
170,"Right PHG"
171,"Left PHG"
172,"Right PIns"
173,"Left PIns"
174,"Right PO"
175,"Left PO"
176,"Right PoG"
177,"Left PoG"
178,"Right POrG"
179,"Left POrG"
180,"Right PP"
181,"Left PP"
182,"Right PrG"
183,"Left PrG"
184,"Right PT"
185,"Left PT"
186,"Right SCA"
187,"Left SCA"
190,"Right SFG"
191,"Left SFG"
192,"Right SMC"
193,"Left SMC"
194,"Right SMG"
195,"Left SMG"
196,"Right SOG"
197,"Left SOG"
198,"Right SPL"
199,"Left SPL"
200,"Right STG"
201,"Left STG"
202,"Right TMP"
203,"Left TMP"
204,"Right TrIFG"
205,"Left TrIFG"
206,"Right TTG"
207,"Left TTG"
