Label.Number,Label.Name,JLF.Column.Names,Volume,GMD,CT,PCASL,rest,idemo,nback,MD,RD,AD,FA
4,3rd Ventricle,%MODALITY%_jlf_%MEASURE%_3rd_Ventricle,0,1,1,1,1,1,1,1,1,1,1
11,4th Ventricle,%MODALITY%_jlf_%MEASURE%_4th_Ventricle,0,1,1,1,1,1,1,1,1,1,1
23,Right Accumbens Area,%MODALITY%_jlf_%MEASURE%_R_Accumbens_Area,0,0,1,0,0,0,0,0,0,0,1
30,Left Accumbens Area,%MODALITY%_jlf_%MEASURE%_L_Accumbens_Area,0,0,1,0,0,0,0,0,0,0,1
31,Right Amygdala,%MODALITY%_jlf_%MEASURE%_R_Amygdala,0,0,1,0,0,0,0,0,0,0,1
32,Left Amygdala,%MODALITY%_jlf_%MEASURE%_L_Amygdala,0,0,1,0,0,0,0,0,0,0,1
35,Brain Stem,%MODALITY%_jlf_%MEASURE%_Brain_Stem,0,0,1,0,0,0,0,0,0,0,1
36,Right Caudate,%MODALITY%_jlf_%MEASURE%_R_Caudate,0,0,1,0,0,0,0,0,0,0,1
37,Left Caudate,%MODALITY%_jlf_%MEASURE%_L_Caudate,0,0,1,0,0,0,0,0,0,0,1
38,Right Cerebellum Exterior,%MODALITY%_jlf_%MEASURE%_R_Cerebellum_Exterior,0,0,1,1,0,0,0,0,0,0,1
39,Left Cerebellum Exterior,%MODALITY%_jlf_%MEASURE%_L_Cerebellum_Exterior,0,0,1,1,0,0,0,0,0,0,1
40,Right Cerebellum White Matter,%MODALITY%_jlf_%MEASURE%_R_Cerebellum_White_Matter,0,1,1,1,1,1,1,1,1,1,1
41,Left Cerebellum White Matter,%MODALITY%_jlf_%MEASURE%_L_Cerebellum_White_Matter,0,1,1,1,1,1,1,1,1,1,1
44,Right Cerebral White Matter,%MODALITY%_jlf_%MEASURE%_R_Cerebral_White_Matter,0,1,1,0,1,1,1,1,1,1,1
45,Left Cerebral White Matter,%MODALITY%_jlf_%MEASURE%_L_Cerebral_White_Matter,0,1,1,0,1,1,1,1,1,1,1
46,CSF,%MODALITY%_jlf_%MEASURE%_CSF,0,1,1,1,1,1,1,1,1,1,1
47,Right Hippocampus,%MODALITY%_jlf_%MEASURE%_R_Hippocampus,0,0,1,0,0,0,0,0,0,0,1
48,Left Hippocampus,%MODALITY%_jlf_%MEASURE%_L_Hippocampus,0,0,1,0,0,0,0,0,0,0,1
49,Right Inf Lat Vent,%MODALITY%_jlf_%MEASURE%_R_Inf_Lat_Vent,0,1,1,1,1,1,1,1,1,1,1
50,Left Inf Lat Vent,%MODALITY%_jlf_%MEASURE%_L_Inf_Lat_Vent,0,1,1,1,1,1,1,1,1,1,1
51,Right Lateral Ventricle,%MODALITY%_jlf_%MEASURE%_R_Lateral_Ventricle,0,1,1,1,1,1,1,1,1,1,1
52,Left Lateral Ventricle,%MODALITY%_jlf_%MEASURE%_L_Lateral_Ventricle,0,1,1,1,1,1,1,1,1,1,1
55,Right Pallidum,%MODALITY%_jlf_%MEASURE%_R_Pallidum,0,0,1,0,0,0,0,0,0,0,1
56,Left Pallidum,%MODALITY%_jlf_%MEASURE%_L_Pallidum,0,0,1,0,0,0,0,0,0,0,1
57,Right Putamen,%MODALITY%_jlf_%MEASURE%_R_Putamen,0,0,1,0,0,0,0,0,0,0,1
