Label.Number,Label.Name,JLF.Column.Names,Volume,GMD,CT,PCASL,rest,idemo,nback,MD,RD,AD,FA
1,LeftLimbicLobe,%MODALITY%_jlf_%MEASURE%_L_Limbic_Lobe_WM,0,1,1,0,1,1,1,0,0,0,0
2,LeftInsularLobe,%MODALITY%_jlf_%MEASURE%_L_Insular_Lobe_WM,0,1,1,0,1,1,1,0,0,0,0
3,LeftFrontalLobe,%MODALITY%_jlf_%MEASURE%_L_Frontal_Lobe_WM,0,1,1,0,1,1,1,0,0,0,0
4,LeftParietalLobe,%MODALITY%_jlf_%MEASURE%_L_Parietal_Lobe_WM,0,1,1,0,1,1,1,0,0,0,0
5,LeftOccipitalLobe,%MODALITY%_jlf_%MEASURE%_L_Occipital_Lobe_WM,0,1,1,0,1,1,1,0,0,0,0
6,LeftTemporalLobe,%MODALITY%_jlf_%MEASURE%_L_Temporal_Lobe_WM,0,1,1,0,1,1,1,0,0,0,0
7,RightLimbicLobe,%MODALITY%_jlf_%MEASURE%_R_Limbic_Lobe_WM,0,1,1,0,1,1,1,0,0,0,0
8,RightInsularLobe,%MODALITY%_jlf_%MEASURE%_R_Insular_Lobe_WM,0,1,1,0,1,1,1,0,0,0,0
9,RightFronatlLobe,%MODALITY%_jlf_%MEASURE%_R_Frontal_Lobe_WM,0,1,1,0,1,1,1,0,0,0,0
10,RightParietalLobe,%MODALITY%_jlf_%MEASURE%_R_Parietal_Lobe_WM,0,1,1,0,1,1,1,0,0,0,0
11,RightOccipitalLobe,%MODALITY%_jlf_%MEASURE%_R_Occipital_Lobe_WM,0,1,1,0,1,1,1,0,0,0,0
12,RightTemporalLobe,%MODALITY%_jlf_%MEASURE%_R_Temporal_Lobe_WM,0,1,1,0,1,1,1,0,0,0,0
