bblid,scanid
125316,6536
96591,5595
126960,5954
108748,4441
120403,5153
112573,4653
82229,6619
98425,4710
120364,5605
109511,5078
115267,4810
106154,5224
132083,6433
97106,3960
85057,3146
109270,3967
84394,2896
91404,3651
132782,6498
118393,5225
92927,6872
105168,3881
99419,5597
80010,2894
103029,6252
87300,6314
95123,4201
102102,5415
109464,6606
111272,5791
96420,6239
93469,3633
87842,6185
86853,3449
120514,5912
85715,5624
85286,3594
100437,3800
93156,4596
97092,4331
133220,6694
83580,3610
120940,5234
93891,3664
93042,3523
97124,4245
93083,5554
109675,4216
108952,4745
106039,4266
85679,3407
105244,4697
85822,3534
100115,5070
82359,6815
110153,5263
127386,5658
118513,5409
90750,4467
94599,3904
133228,6354
130034,5873
88013,3216
106267,3916
122579,5886
84050,5674
99436,3649
88918,3541
96659,5512
119287,5039
96118,3500
98532,3708
89320,5758
100761,4581
102601,6148
93598,4250
133240,6677
102350,3699
95939,3668
129525,5978
83328,3045
101155,4248
91398,6865
97456,5226
97767,4400
91466,6730
92554,4043
115749,5561
91241,3596
89627,5016
93808,3586
86126,3231
93051,3918
126146,6201
118057,5323
84053,3495
88672,4901
116624,6664
119338,5413
110885,6215
110023,4579
101863,6247
100508,6430
121654,5075
89367,5292
90626,4990
104263,4095
130908,6417
124926,5883
127449,5508
114738,4738
91800,4375
125352,6355
99578,4462
111857,4852
117256,6617
117394,6258
105332,3852
108202,4040
80603,2821
85397,6643
103682,4691
99844,4223
96832,5015
103171,3922
91187,3798
125554,5571
110324,6223
92500,4540
110689,6027
116046,4794
133007,6259
99648,4137
106473,4650
81323,3742
125501,5724
109733,4372
84385,4623
86252,6642
112556,4575
129600,6149
116618,5274
98879,6159
114790,4566
85603,2968
104078,4808
118126,5730
87548,3139
130250,6530
118162,5266
116943,5679
91560,4075
114069,5918
100522,6611
108286,4293
89505,4933
117895,5195
120922,5389
132059,6241
115276,5012
117847,5336
115799,5435
97667,3856
100056,4008
81906,6584
91104,3463
95257,4284
130121,6151
98314,3637
87344,3233
94697,5751
85980,3320
83531,4931
85258,6816
112028,4546
114281,4866
83972,3081
90520,5379
92848,4150
100639,4368
82155,3043
100876,4409
131444,6544
101368,3804
97600,4279
108701,4215
103941,4269
100300,3794
95745,4332
132560,6360
88547,3293
118573,5199
107753,5981
108154,4844
109645,4571
98427,5411
84735,3083
92891,3670
87195,6630
86946,3962
117640,6366
102159,5997
99791,6572
98751,6649
131160,6492
128979,6033
131729,6129
82066,6629
132224,6324
99352,4967
81162,3427
110509,4399
111706,5999
99259,6277
91074,6219
103679,6458
113340,6650
106802,5416
86583,3584
122630,5594
125250,5345
81659,2818
109581,5559
83358,2963
90508,4071
116817,5060
104156,5795
125235,6126
88907,6729
127417,5546
85853,6334
104727,3863
102924,5455
131306,6286
129354,6202
119671,5484
115954,5394
87601,6917
110967,4295
90116,5920
112799,4500
96585,4639
99416,5160
109088,4280
92881,4678
110168,4767
111851,4362
120925,5227
106880,5237
103720,3884
125504,5806
108141,5796
114469,4466
92037,6035
112269,4339
98529,4101
86722,3705
88162,3023
102980,3899
84371,6604
87045,3115
84107,2859
97597,6844
101158,5763
86769,5904
110724,4612
132658,6352
93298,4512
103989,6499
117201,5243
105402,3951
83990,2831
93771,5884
129720,6465
99538,5887
119386,5009
125292,5391
126672,5788
88305,3295
93867,4371
85464,3189
129552,6487
98831,4624
103712,4595
94418,3894
112126,4533
82039,3112
88505,4507
96356,4943
89731,4814
103413,5057
84096,6573
125506,6370
84069,3524
132209,6351
83253,6582
87670,3246
99610,5425
101598,5412
89653,3428
133242,6416
104785,4156
99340,6495
85751,6291
89561,4249
90217,3426
113127,4732
87470,4000
86990,3202
95558,4861
81353,3141
87737,3961
100278,4296
113220,4505
121017,5465
127236,5682
88773,3543
116961,5914
85983,3345
98488,4212
90667,3363
85063,3316
111839,4941
91489,4756
110103,4214
86880,6827
112598,5161
125106,5457
125187,5801
104004,5560
113433,5139
92669,3613
84136,6733
90462,3405
132905,6285
115492,5657
131867,6075
91726,5719
126741,5882
113204,4646
111873,4479
98975,5119
131447,6391
80889,3437
87804,3144
127854,6029
130618,6065
126837,5544
89881,3854
93952,3756
86820,3429
82825,3038
98366,3966
98672,6665
94321,4768
97562,3825
85394,2909
132785,6698
121050,6127
112812,4807
88425,3414
118201,5072
92962,3725
90742,4986
92014,4377
80688,3844
98849,4688
110292,5235
127353,5926
104511,3919
114131,4560
99503,4103
92403,3902
92362,4489
109600,4264
127011,5812
85483,3018
88181,6545
108358,4151
125521,5836
119848,5718
85862,3153
110510,4402
98319,4567
93206,3648
130693,6119
93321,6878
119542,5556
132657,6414
96602,4988
107168,4064
105176,5077
84758,3178
88902,6695
96224,4817
112755,4543
109577,4937
97395,4414
112824,4949
87878,3400
97342,4897
83987,3113
84288,3039
117397,5109
108375,4172
82467,4335
92886,5762
91332,3362
127731,5949
126293,5596
104848,4021
87699,5626
81521,6491
98882,3910
112031,5185
125557,5340
87772,6763
111848,4361
86460,3091
128475,5913
91740,3397
121085,5537
114004,5187
107903,6577
102845,5273
121000,5755
89260,3367
115665,4734
116034,5434
107642,4270
106483,4152
95460,4278
86506,3284
127806,6329
98320,3614
112083,5799
128208,5849
113929,6697
110825,4330
84508,5809
110177,4572
110176,4804
125133,6073
87604,4448
86076,5950
99433,3701
94621,3903
101227,4845
109521,5120
131702,6066
129741,5855
114326,4582
117060,4979
85765,3290
126344,6535
94612,4173
112391,6188
127035,5590
112408,6541
89383,3498
93969,4541
122508,5496
113054,5027
126395,5494
114466,4898
114935,4516
103773,4022
86171,3014
85433,6528
82208,6552
131837,6540
97485,4996
131927,6702
100482,3954
116086,5744
118672,5244
132566,6439
87135,4634
120695,5337
93292,4945
85392,3048
126906,5686
82453,6675
89502,4376
96201,4343
95395,4982
132097,6186
122528,5987
96235,3898
129486,6638
106246,5720
128307,5955
86303,4534
100992,4704
80537,2823
100088,6853
95957,6115
109741,4396
122911,5550
114709,5056
99604,6454
120052,6364
114857,4641
84446,3526
91145,3897
122124,5632
81047,3724
130863,6469
83454,5853
125511,5572
113753,4680
125280,5515
108513,5322
93949,3727
91517,6608
110166,4202
95051,4545
131552,6200
121449,5428
131810,6497
125181,5557
120902,5233
87209,3225
111230,4640
100031,3818
89184,4381
84059,4463
83010,4498
84803,3513
127350,5680
98999,3933
95116,3998
122669,6332
120850,5159
102817,3802
96902,5150
105866,5332
97646,6875
90042,3609
92860,3371
132071,6326
130859,5984
120646,5188
128613,6488
81528,3179
121100,6431
94028,6645
104969,5789
109505,4070
117352,5085
87277,3467
110304,5381
98300,4219
109654,4548
132605,6402
101501,4007
120220,5275
92918,6762
108302,5026
108005,5230
114179,4781
121605,5608
98902,4114
82784,3488
130151,6507
95044,6157
130861,6024
116244,5024
106313,4638
131534,6529
118321,6112
87381,5979
97857,5193
82373,2952
126786,6296
125217,5683
120013,6361
97991,4443
111102,4444
114445,5625
127179,5876
125226,5846
102958,3952
84816,2832
118738,5177
91855,3883
130896,6506
125505,6017
96580,4685
116360,4998
115529,4655
115704,6598
131657,6242
83832,6747
97994,3846
100849,4811
116843,6574
119317,5260
97904,4686
97339,4252
97573,6397
83632,6818
103768,4499
100648,4591
98253,3675
116762,5086
130332,5983
91152,4544
110131,6474
94445,4487
108560,4682
93948,5346
128619,6214
83525,2822
131085,6284
93463,3430
116191,5385
82511,3404
102760,4117
84891,6616
122277,5641
125498,5475
104563,3956
87144,3190
125184,5589
126681,6435
107628,4160
90732,6962
99399,4620
88844,3731
114842,4825
121670,5186
84659,6441
127091,6740
83835,6671
100869,6612
106270,5319
127008,6680
117838,5382
131993,6294
114806,4792
83648,3116
87947,3210
126176,5980
94848,3638
129886,5910
131622,6025
120730,5569
104235,4102
110214,5871
109321,4076
105099,5420
88384,4966
83708,3564
82383,2906
103423,6280
96161,3973
84233,2865
122879,5878
119725,5716
129215,6123
97851,3912
130881,6155
115454,4868
88190,3209
96123,4127
131651,6415
90050,4746
96904,4708
108211,4578
84103,5842
112608,4415
104393,3971
116147,4946
129839,6022
89186,4550
94108,3759
114713,5800
85876,5423
93278,3456
